timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675976132240,5128,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com,200,OK,Thread Group 1-1,text,true,,1753680,4276,1,1,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com,3003,0,1338
1675976132240,3125,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-0,200,OK,Thread Group 1-1,text,true,,2722,561,1,1,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com,3003,0,1338
1675976135429,67,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-1,200,OK,Thread Group 1-1,bin,true,,16057,513,1,1,https://profile.w3schools.com/favicon.ico,67,0,0
1675976135429,870,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-2,200,OK,Thread Group 1-1,text,true,,113585,528,1,1,https://www.googletagmanager.com/gtag/js?id=UA-3855518-1,250,0,153
1675976135429,215,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-3,200,OK,Thread Group 1-1,text,true,,24414,555,1,1,https://static.zdassets.com/ekr/snippet.js?key=41c2038e-584a-4eb0-b6fe-696d291af18b,211,0,150
1675976135431,176,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-4,200,OK,Thread Group 1-1,text,true,,792,514,1,1,https://profile.w3schools.com/datalayer.js,176,0,124
1675976135431,1315,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-5,200,OK,Thread Group 1-1,text,true,,1233982,528,1,1,https://profile.w3schools.com/static/js/main.8c2ae448.js,194,0,132
1675976135431,1937,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-6,200,OK,Thread Group 1-1,text,true,,362128,1077,1,1,https://profile.w3schools.com/static/css/main.f7132027.css,180,0,121
1675976135431,756,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-0,200,OK,,text,true,,352532,530,0,0,https://profile.w3schools.com/static/css/main.f7132027.css,180,0,121
1675976137118,250,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com-1,200,OK,ResDownload-Thread-7,text,true,,9596,547,0,0,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,400,500,600,700",248,0,156
1675976137391,1417,https://my-learning-legacy.w3schools.com/api/user/check-creds/,200,OK,Thread Group 1-1,text,true,,769,521,1,1,https://my-learning-legacy.w3schools.com/api/user/check-creds/,1416,0,1120
1675976138809,860,https://profile.w3schools.com/api/user,200,OK,Thread Group 1-1,text,true,,611,1403,1,1,https://profile.w3schools.com/api/user,860,0,0
1675976156695,3304,https://my-learning.w3schools.com/,200,OK,Thread Group 1-1,text,true,,2111456,5569,1,1,https://my-learning.w3schools.com/,683,0,620
1675976156695,683,https://my-learning.w3schools.com/-0,200,OK,Thread Group 1-1,text,true,,6288,506,1,1,https://my-learning.w3schools.com/,683,0,620
1675976157395,73,https://my-learning.w3schools.com/-1,200,OK,Thread Group 1-1,bin,true,,16044,517,1,1,https://my-learning.w3schools.com/favicon.ico,73,0,0
1675976157399,179,https://my-learning.w3schools.com/-2,304,Not Modified,Thread Group 1-1,,true,,927,656,1,1,https://static.zdassets.com/ekr/snippet.js?key=41c2038e-584a-4eb0-b6fe-696d291af18b,0,0,120
1675976157398,589,https://my-learning.w3schools.com/-3,200,OK,Thread Group 1-1,text,true,,87873,1134,1,1,https://my-learning.w3schools.com/static/css/6.4d9ac4df.chunk.css,287,0,222
1675976157398,350,https://my-learning.w3schools.com/-0,200,OK,,text,true,,78277,537,0,0,https://my-learning.w3schools.com/static/css/6.4d9ac4df.chunk.css,287,0,222
1675976157895,92,https://my-learning.w3schools.com/-1,200,OK,ResDownload-Thread-3,text,true,,9596,597,0,0,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,400,500,600,700",83,0,0
1675976157401,2598,https://my-learning.w3schools.com/-4,200,OK,Thread Group 1-1,text,true,,182735,1683,1,1,https://my-learning.w3schools.com/static/css/main.77cffc83.chunk.css,2045,0,215
1675976157401,2168,https://my-learning.w3schools.com/-0,200,OK,,text,true,,170290,540,0,0,https://my-learning.w3schools.com/static/css/main.77cffc83.chunk.css,2045,0,215
1675976159782,88,https://my-learning.w3schools.com/-1,200,OK,ResDownload-Thread-4,text,true,,9596,597,0,0,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:300,400,500,600,700",80,0,0
1675976159783,216,https://my-learning.w3schools.com/-2,200,OK,ResDownload-Thread-4,text,true,,2849,546,0,0,https://fonts.googleapis.com/css2?family=Roboto+Mono:wght@500&display=swap,216,0,135
1675976157402,1588,https://my-learning.w3schools.com/-5,200,OK,Thread Group 1-1,text,true,,1804664,535,1,1,https://my-learning.w3schools.com/static/js/6.bc59830b.chunk.js,338,0,213
1675976157403,275,https://my-learning.w3schools.com/-6,200,OK,Thread Group 1-1,text,true,,12925,538,1,1,https://my-learning.w3schools.com/static/js/main.64a60624.chunk.js,275,0,212
1675976160033,2112,https://myl-api.w3schools.com/api/user/state,200,OK,Thread Group 1-1,text,true,,2556,1556,1,1,https://myl-api.w3schools.com/api/user/state,1848,0,1496
